,rec1,rec2,rec3,rec4,rec5
220,13509,6268,5282,7572,14514
221,6386,3138,15140,10377,9673
222,13963,16466,8126,12871,6657
223,6386,10445,3138,10377,9673
224,12575,2939,16092,17472,10608
225,5404,8665,12558,9204,14822
226,4305,4772,8419,14311,4428
227,14496,17342,13955,17377,7055
228,1611,11387,15067,7017,4376
229,1611,17092,11121,11103,1686
230,1888,10648,10710,6298,11225
231,12575,4261,1951,13135,8058
232,5027,16695,3763,148,1546
233,2253,10732,13833,2463,17460
234,1951,13536,12072,708,4305
235,1951,4373,15102,5854,4305
236,7152,2851,7501,13807,2759
237,12575,14442,2939,16692,14136
238,14619,16595,13408,15244,4146
239,16853,9193,2253,16259,15140
240,16857,13457,2771,3820,2101
241,15105,15067,16228,11300,8784
242,9660,2036,5937,12542,15631
243,4943,13036,7976,16110,16962
244,5253,13193,12273,11606,2841
245,15482,12447,7152,16830,7111
246,4305,4772,12941,4428,12686
247,8971,9660,10171,11389,13969
248,9167,12552,16220,8696,4152
249,7147,8173,15372,11298,2752
250,1833,15482,7120,10149,10951
251,6386,15100,3138,3760,14251
252,2851,16350,11790,4428,11342
253,7067,14654,14006,15530,14371
254,7147,9881,10769,11298,15372
255,4475,14673,11804,16673,8663
256,6386,16963,15724,13577,3138
257,13509,10932,13433,6268,14514
258,14924,5404,8665,16027,9204
259,9167,16220,2016,11563,14981
260,6632,9722,11316,12993,2052
261,13509,6268,2828,14514,5020
262,13849,793,16372,12639,3193
263,6386,16853,3138,13955,10377
264,15100,14006,14371,4279,10250
265,12575,1951,8058,6093,2939
266,6719,16110,8344,2667,10262
267,216,11121,3077,6790,16655
268,12575,13135,8058,13614,6093
269,13036,17103,8344,6251,8956
270,9413,13509,6268,14514,5020
271,8680,8681,1951,4373,15102
272,4428,12686,11342,16665,9707
273,232,3763,8126,10377,148
274,13963,3138,3763,148,14973
275,997,10648,1888,10710,6298
276,9069,3138,12435,16859,5301
277,1833,15482,7120,10149,8665
278,16695,7397,9723,1008,3278
279,11121,7193,16678,7613,16655
280,5481,10122,16234,11650,4205
281,9350,7147,7067,15605,5698
282,1138,9147,4428,11790,11342
283,16131,7976,1415,1838,6251
284,1913,6233,7058,8187,15332
285,6386,3138,16655,10377,8989
286,6386,3138,15053,10377,2086
287,15154,13661,6300,10250,14371
288,1833,5282,7111,3657,9899
289,997,1888,10648,10710,6640
290,9280,13036,9425,16514,15617
291,6386,3138,2851,10377,9673
292,1951,4373,15102,5854,12154
293,7086,16238,6233,7058,8187
294,6386,480,3138,11333,12490
295,5404,4093,13843,7025,3488
296,7152,13093,2368,11179,12620
297,3138,11333,12490,15674,5242
298,15888,16092,16385,13417,7119
299,12795,16695,232,3763,3278
300,306,3300,3321,3660,8002
301,16092,9294,3809,3869,9102
302,13509,11583,1138,6268,5702
303,6886,12795,7501,354,10377
304,3809,7501,1138,6590,4428
305,16234,2368,14597,15888,16092
306,12575,13135,9458,2939,2913
307,13509,5370,514,5282,9204
308,2946,7096,15738,11287,9057
309,15799,7049,1138,4428,10201
310,6386,16092,12490,15674,5242
311,6041,11944,11945,12084,2065
312,13509,12781,6268,16475,14514
313,6386,6886,3138,5715,7501
314,6386,16306,3138,7501,15053
315,16853,9193,17342,16259,15140
316,16234,2368,16092,9577,7501
317,17633,555,960,6,12112
318,5027,15951,232,3763,15053
319,1833,7120,8333,7119,15821
320,8475,1011,16234,13849,2368
321,6386,3138,11333,15674,5242
322,3263,15674,5242,7727,14822
323,6386,16853,3138,6513,10377
324,17633,555,960,6,317
325,16890,726,648,4428,12686
326,12575,3745,9289,2939,306
327,12795,5253,13193,7564,15190
328,5481,10122,16234,10114,11650
329,12795,3138,3763,354,10377
330,724,16092,3138,12490,15674
331,2419,7501,6926,6590,4428
332,6386,6886,3138,900,7501
333,13457,16092,16385,11453,13417
334,16092,3138,12490,15674,5242
335,5404,14924,8665,12558,16027
336,7120,16468,14487,10033,12620
337,2000,12516,12515,13976,16948
338,5481,7067,15713,14006,9328
339,7271,11305,12575,9289,2939
340,2949,16234,724,2939,16092
341,12575,9289,3745,2939,521
342,16234,2368,16092,9577,7501
343,12795,5404,7152,13937,354
344,12194,4428,15684,12686,11342
345,1951,2939,4305,16019,4428
346,724,16234,13698,751,9577
347,410,1781,17401,7021,16940
348,11329,13317,1951,15592,3660
349,2368,3660,12639,16504,9470
350,12575,3745,9289,2939,6538
351,6386,6886,3138,12142,7501
352,20,16234,526,715,501
353,16234,9577,3947,7243,9461
354,5027,12795,4475,3763,148
355,13963,7147,9579,4318,505
356,5253,13193,12273,7564,416
357,12575,11729,3745,2939,8930
358,16468,7988,14487,10033,14375
359,12795,3763,354,148,5381
360,5481,9328,7501,9278,12081
361,13963,12575,6093,2939,8146
362,3791,6493,10453,10377,16321
363,6386,6886,3138,12142,7501
364,7147,11563,7560,7057,16920
365,5481,900,9328,7501,14371
366,518,17342,17377,7252,6832
367,14654,3937,8538,12948,15842
368,5481,9328,7501,4153,5702
369,13509,13875,8893,6268,14514
370,15951,5404,3763,148,5381
371,10769,14006,4318,9920,2220
372,2368,12818,2851,653,7501
373,1820,14064,526,564,14681
374,10445,11733,7021,4428,11342
375,1047,5481,724,6708,11298
376,3190,11727,6256,5481,52
377,13849,13074,14431,1951,15102
378,15888,16092,16385,15048,13417
379,6135,11096,11333,12490,17168
380,2000,5282,17004,4663,3166
381,16092,16385,13417,462,7119
382,12288,7119,9204,7371,13427
383,5481,9328,7501,3809,1138
384,14442,7802,16032,13344,4051
385,7152,15439,11179,14012,8499
386,13145,16254,11298,15372,483
387,13963,4475,8126,4428,15526
388,2851,3660,4772,17401,12639
389,10121,5481,912,16254,6708
390,9920,2220,10305,6657,13661
391,6386,17062,15100,3138,15140
392,9289,13614,13135,5481,16138
393,629,3618,14624,9073,9215
394,2368,9458,9377,2851,9328
395,6886,5481,6188,16254,15372
396,5027,5344,11333,12490,8665
397,363,6386,6886,2557,3138
398,15369,9170,12628,4318,15797
399,7147,7067,10769,15713,14006
400,16830,7397,5352,11412,3278
401,6386,3453,3138,3809,7501
402,12795,521,350,411,13193
403,16092,3138,15674,5242,10377
404,1951,4305,3660,7243,16019
405,7147,9881,14006,10250,4279
406,12575,9289,3745,2939,9310
407,6917,2772,4785,12608,10121
408,5253,12324,13193,7564,6782
409,13963,7067,3809,1138,8126
410,14665,704,3300,7021,15842
411,12795,359,12273,615,17308
412,5027,5404,16695,232,3763
413,13135,13614,16013,17472,8309
414,10430,5370,3193,12639,3815
415,13509,6268,10879,14514,11518
416,13359,8126,3784,16321,14973
417,4198,3138,359,4694,6272
418,3814,6063,16027,10879,17389
419,9660,2036,11333,2032,12490
420,5481,17372,753,11298,15372
421,13509,8665,17186,5370,12639
422,3763,148,1871,1546,5381
423,2302,8380,15506,7222,6849
424,3814,6063,16592,6300,7067
425,16092,11333,12490,15053,15674
426,6386,36,6886,3138,7501
427,1833,7120,294,480,10149
428,5481,7067,2943,573,900
429,12795,5027,3763,9680,148
430,1986,5213,14716,7152,4521
431,6386,3138,10377,9673,14065
432,15799,8967,8419,4428,13551
433,12575,6093,13135,16789,13614
434,7587,6386,6886,3138,7501
435,6386,15100,3138,3809,11606
436,6349,7501,6590,4428,11342
437,1833,10419,3300,10951,6821
438,1833,10419,8665,16350,5282
439,13509,16611,6268,4827,7337
440,15888,16092,16385,13417,9661
441,16234,2368,16092,9577,900
442,16234,11299,2368,16092,9577
443,12795,5404,7152,3763,354
444,13963,5276,6320,13807,774
445,16234,2368,6413,5481,16092
446,12575,14442,2939,16692,14136
447,16234,10122,3964,14449,9660
448,9333,15715,15478,12435,9324
449,13295,1781,3300,16350,7021
450,5253,13193,6074,14624,4663
451,12575,3745,9289,2939,13927
452,14654,704,12853,12948,15842
453,7067,13145,16254,9881,9920
454,13509,6268,11168,14514,5020
455,13509,6268,2726,16054,14514
456,5404,779,13736,13359,5984
457,5404,15968,8665,12558,9204
458,10114,17667,2771,15067,13593
459,5481,9328,7501,3809,13064
460,9660,15482,5977,16385,6041
461,14431,13074,13849,1951,11475
462,16234,2368,9972,16092,9577
463,6179,3660,15835,9470,4008
464,1057,9824,17342,11411,17485
465,9881,13145,11298,15372,4279
466,13317,6611,628,608,5212
467,6386,16092,11333,12490,15674
468,1951,4373,13509,15102,5854
469,9289,9615,5481,15799,8892
470,12575,9289,3745,2939,13927
471,1011,16890,7621,654,8333
472,16234,2368,16092,9577,7501
473,12795,3763,11606,3278,148
474,13145,14371,3821,14824,6300
475,3300,10430,7021,15842,18
476,15888,16092,16385,13417,7119
477,739,13509,11066,11617,6268
478,410,15734,2236,9571,3660
479,10718,8693,8055,11951,14376
480,294,3763,427,148,1871
481,7678,5481,821,17154,2001
482,13963,11889,12821,8126,17012
483,16234,2368,16092,9577,7501
484,3791,6493,10453,2373,9513
485,6386,6886,3138,1174,7501
486,12795,5253,12273,7564,11606
487,16234,2368,848,16092,9577
488,16092,3809,1138,13417,7119
489,5976,10188,1753,11201,1838
490,12382,7237,16350,15584,17051
491,16234,2368,16092,9577,7501
492,13084,12849,16234,2368,8191
493,11083,3763,148,1127,17163
494,16092,12490,15674,5242,10377
495,17342,2022,8665,12288,3193
496,3660,4772,12639,4428,11342
497,13509,1138,6268,15842,14514
498,4475,11804,16673,5027,7514
499,1951,4373,15102,5854,15298
500,7147,13145,4279,10250,4318
501,12795,13202,329,3763,354
502,9193,900,5391,9328,7880
503,4475,11804,7514,16673,5027
504,3138,3763,15053,10377,148
505,13963,9328,7501,8126,6874
506,5481,7821,7501,3809,7831
507,12575,6386,2939,3138,12996
508,13963,8542,11316,8951,7501
509,12575,9289,3745,2939,13927
510,16092,3138,12490,15674,5242
511,16234,3138,9577,900,15674
512,6386,12490,15674,5242,9673
513,5481,16234,7067,16254,2943
514,9002,13509,10017,354,6268
515,6386,16092,3138,11333,12490
516,360,14006,9278,12081,5610
517,16695,232,3763,11606,148
518,4373,1951,15102,5854,366
519,577,16032,12601,5481,7249
520,5481,6611,3106,9328,7501
521,12185,3745,15455,341,17079
522,7152,2368,11179,12620,16027
523,5404,779,12476,3763,148
524,14924,12795,5404,12559,4869
525,5404,3763,148,15632,5381
526,7152,4475,4011,354,16350
527,8126,10377,148,16321,14973
528,5404,12490,8665,12558,3763
529,16254,13145,7067,11298,3809
530,1951,12575,4305,3660,16019
531,12795,354,11714,14973,7090
532,16234,2949,2368,9289,13614
533,410,3300,3660,17401,2267
534,410,14654,12853,12948,14295
535,17633,707,16234,555,2036
536,1833,2368,12620,8333,622
537,4254,5481,2435,9328,7501
538,4254,13145,11298,15372,2435
539,4254,2771,3820,2435,14136
540,15455,5481,8930,10769,9328
541,16234,2368,5481,2949,11650
542,3190,6386,11727,3138,7501
543,16234,2368,5481,2949,16385
544,16234,2368,709,447,16092
545,6386,16092,3138,12490,15674
546,16092,8940,8629,14638,9408
547,5481,4254,2435,9328,5974
548,16092,11333,12490,15674,5242
549,13361,13317,17165,6119,3660
550,10610,12795,602,13193,5708
551,1833,7111,3657,9899,7109
552,17342,14279,10241,17377,12245
553,5481,4538,3106,752,8742
554,16234,2368,16092,9577,900
555,17633,719,960,6,317
556,10017,3663,9615,15799,9193
557,12795,17254,2751,6886,443
558,9377,9458,306,2851,7119
559,5481,15372,9577,9328,10621
560,9576,5481,14732,13145,12676
561,1174,7501,6590,6341,4428
562,5481,7988,16234,4205,573
563,1781,14654,12853,3931,15466
564,10257,679,1820,12601,16032
565,491,7501,3660,4772,17401
566,16138,8892,15799,13135,17472
567,4475,14918,17562,354,15526
568,4475,14673,7557,16350,8663
569,12575,6886,9289,3745,1011
570,10257,12575,9289,3745,2939
571,6386,16092,11333,12490,15674
572,2419,7501,2184,8984,6590
573,5481,13145,11650,9328,7501
574,5481,7821,9328,7501,6119
575,16234,9577,3193,12639,10895
576,5481,16234,10122,11650,4205
577,16234,2368,5481,16092,519
578,8665,9204,3680,7688,10273
579,4373,1951,15102,5854,14514
580,363,5481,11453,6538,9328
581,15322,16853,9193,600,16259
582,5481,10122,16234,8380,1611
583,1951,306,2913,4305,3660
584,10539,16222,13459,12905,13089
585,4617,5481,15903,4538,752
586,16234,724,16092,15069,9577
587,1951,4373,15102,5854,14941
588,16468,6386,14487,8930,3138
589,5481,16234,752,9328,10621
590,6386,6886,3138,3612,7501
591,8665,12288,12558,7119,15674
592,11096,6135,11333,776,12490
593,13295,4373,15102,5854,306
594,320,8475,1011,14348,2949
595,12575,9289,3745,1951,2939
596,12795,16695,2131,3763,148
597,16204,709,16234,9577,900
598,5481,16234,331,4022,15372
599,8665,12288,12558,7119,15674
600,581,2368,13698,16234,15482
601,1951,6595,306,4305,3660
602,2368,16234,16092,9577,7501
603,5481,9881,7067,11298,9328
604,1833,11432,16092,11333,3220
605,8380,6849,7017,17682,10063
606,9669,16966,12982,12201,9254
607,16468,16234,14487,10033,16092
608,13509,5212,5800,466,10879
609,6920,713,2851,7501,3660
610,6793,12490,8665,12558,16239
611,5481,11650,4205,573,11298
612,16468,6331,14487,10450,502
613,518,1951,4373,15102,5854
614,6386,15100,3138,2022,10377
615,12795,359,411,13193,5319
616,7152,11179,7397,502,7880
617,17633,719,555,960,6
618,13361,14442,11690,12648,7005
619,16234,16092,821,9230,9577
620,16234,2368,6886,16092,9577
621,1951,4305,3660,5319,16221
622,1833,7120,15482,10149,7371
623,2131,3763,148,16895,6680
624,13509,6268,3815,14514,5020
625,7428,15888,16092,16385,13417
626,14716,5481,10122,16234,4521
627,2435,9328,7501,876,14136
628,10257,12601,679,1820,5212
629,12795,3618,393,9073,9215
630,15888,8542,16234,17478,14449
631,3664,1877,8629,17502,9408
632,15888,16092,16385,13417,7119
633,6386,16092,15674,5242,9673
634,6386,16092,15674,5242,9673
635,15301,15932,1138,15603,6270
636,3138,13359,3784,4361,10377
637,7501,3192,6590,4428,12686
638,6886,6260,6386,3138,7501
639,16234,2368,9193,15140,900
640,12795,3763,354,148,5381
641,2368,9458,9377,306,2851
642,13344,7186,2653,14205,12723
643,8967,15799,1765,1138,8419
644,5481,754,900,9328,7501
645,5027,17342,17377,354,13532
646,13509,637,1138,354,15842
647,1011,15102,7989,7021,7184
648,16890,726,654,3982,12479
649,12575,14442,839,2939,16692
650,11852,991,5816,4598,3300
651,13193,7564,2841,14624,6074
652,13963,5481,12795,13688,508
653,372,7152,9877,13963,13807
654,5027,4373,16890,726,12479
655,4475,936,7557,16350,9460
656,13619,3660,5370,12639,8663
657,5253,567,14918,996,1871
658,7152,2368,12818,11179,16027
659,16234,3106,9577,12490,900
660,7318,14654,15530,2012,6282
661,5253,13193,12273,7564,15190
662,3300,17401,5370,1138,12639
663,6386,16092,3138,11333,15674
664,13698,12620,17044,1048,17392
665,6386,6886,3138,10079,12142
666,6386,3138,10377,9673,11202
667,6300,7147,16254,15372,11298
668,6886,7501,6590,4428,12686
669,20,352,16234,6886,16092
670,16234,2368,16092,9577,900
671,5481,10122,16234,1611,8380
672,7512,3856,17637,3710,12518
673,12288,7119,9204,7371,16504
674,5253,13193,12273,7564,15190
675,3908,16254,7194,2199,9987
676,3100,5404,15123,16830,11606
677,16092,16385,13417,7119,7371
678,5253,13193,12273,15190,14624
679,746,10257,12601,16234,16032
680,5404,3763,148,15632,5381
681,6632,11316,2052,8951,2259
682,5481,13145,16254,7147,9328
683,11432,16092,4120,380,9231
684,12575,3745,9289,2939,16306
685,9333,14716,15478,4521,16914
686,960,16870,12704,10079,3809
687,1951,4305,16019,16487,10608
688,403,14088,3571,4828,17408
689,16234,16092,9577,483,7501
690,3654,8104,1046,12575,2939
691,1833,15482,7120,10149,7119
692,1745,16269,15506,1686,6849
693,1833,15482,7120,10149,7119
694,6386,16092,15674,5242,10608
695,8042,9147,1765,4428,10201
696,13509,6268,11965,14514,5020
697,11096,6135,11333,12490,900
698,13361,10080,3300,849,15709
699,1833,16092,2851,7119,7371
700,13509,5878,6268,14514,5020
701,7560,4964,12649,12651,9717
702,12575,9289,3745,2939,306
703,12575,16789,8058,6093,2939
704,410,14654,3156,15842,452
705,1833,7120,15482,12447,10149
706,13509,10430,5370,12639,6268
707,17633,12795,555,960,6
708,1951,17459,7988,13762,234
709,16204,16234,16092,9577,7989
710,11560,326,14064,715,7501
711,5404,3763,148,15632,7116
712,5481,16234,10769,2943,9328
713,746,1047,6920,7771,9328
714,7318,630,2851,12872,17401
715,20,352,2949,16234,9577
716,13295,8665,16611,16350,16027
717,6386,3763,8126,10377,148
718,5481,12749,2943,9328,7501
719,17633,555,759,960,6
720,16234,2368,9577,14088,541
721,17401,8333,13571,7021,16350
722,6386,16092,3138,11333,15674
723,16370,1951,7802,762,6897
724,16234,2368,16092,9577,12527
725,16350,7021,16476,13260,2637
726,16890,17528,654,12479,648
727,3164,5481,4254,2435,9328
728,13193,12273,14624,6074,9093
729,1951,17342,17377,4305,16019
730,4373,1951,15102,7621,5370
731,13295,8665,16350,16027,5282
732,8475,16092,306,2913,7119
733,13509,16890,726,654,6268
734,5816,991,749,4598,2361
735,7501,3660,4772,12639,6590
736,11096,6135,9134,6746,11333
737,4254,12717,2435,14136,16383
738,16234,16092,11667,9577,17044
739,11066,11617,16350,17051,12828
740,13509,6268,7021,14514,5020
741,11333,7621,2032,12490,8665
742,12490,15674,5242,4112,15602
743,16234,577,12982,16092,13189
744,17633,11072,719,555,960
745,5027,17342,7953,17377,8665
746,679,16032,10257,743,14064
747,363,16857,3820,7501,14136
748,12575,14442,2939,16692,14136
749,4598,2361,734,354,7021
750,14654,3300,14295,14391,15306
751,7501,4293,15867,6590,4428
752,4617,6386,4538,790,7501
753,5481,9881,11339,3062,9328
754,16234,16092,11333,9577,900
755,9875,13509,6268,57,4515
756,16234,2368,16092,9577,7501
757,637,7501,3192,6590,4428
758,6386,3763,10377,14973,16321
759,17633,719,6886,555,960
760,12795,6386,354,11714,16321
761,5481,360,3062,9328,7501
762,16370,13317,7802,6897,3660
763,11299,8333,5988,18,13570
764,12575,372,9289,3745,2939
765,1951,703,4305,3660,16019
766,9333,15478,3830,9324,15442
767,9251,11432,9660,900,953
768,14376,2052,8951,2352,6020
769,5481,9328,3809,7501,1138
770,3809,7501,10893,769,6590
771,5027,12795,14670,567,14918
772,7147,13145,16254,7067,14006
773,7152,15439,2499,11179,8521
774,15123,5404,3100,16830,444
775,2772,12608,13962,912,407
776,16092,3138,15674,5242,9673
777,7152,2499,11179,8149,6052
778,3100,480,16120,13811,14965
779,5404,13807,15632,14973,16321
780,6386,3138,3809,7501,6590
781,13882,13509,9169,12720,2688
782,10114,15506,1611,17667,1686
783,1951,1011,2949,3660,8535
784,5370,16914,8629,1636,6667
785,1833,2368,7120,15482,16342
786,15276,17513,4254,10569,14136
787,13963,8126,6074,15733,14532
788,2449,12781,15505,8921,14514
789,3767,16695,9723,1008,3278
790,4617,15903,4538,752,3138
791,13509,5513,6268,14514,5020
792,1011,16234,619,9577,841
793,5148,1011,6260,638,7678
794,7327,4617,16642,2368,4538
795,2368,724,16234,9577,12527
796,476,16234,2368,13493,16092
797,13509,15710,6268,17034,14514
798,15888,16092,7119,11168,7371
799,13195,5931,3568,13189,4550
800,9183,14032,13317,11565,7401
801,16468,2949,14487,10450,10033
802,1951,2939,4305,16019,16487
803,5027,5404,3763,148,5381
804,13295,1781,16611,13433,7021
805,16092,10033,15442,3809,1138
806,5404,2499,13736,3763,15632
807,16234,2368,5481,16092,9577
808,16092,16385,2000,483,3809
809,16092,12639,3193,12686,11342
810,4373,1951,13509,15102,5854
811,13295,3983,16350,13366,11790
812,232,3763,148,1546,5381
813,1951,2939,4305,3660,16019
814,13892,16784,4825,17401,15697
815,5253,12273,7564,15190,2841
816,10896,10010,12818,5578,4985
817,6386,12575,2939,3138,3809
818,6386,11801,3138,7501,6590
819,14597,7501,6590,4428,3270
820,5481,17633,960,4205,12704
821,12575,9289,3745,2939,12676
822,16092,14392,15602,15363,16385
823,10257,11299,1011,16342,704
824,5574,1781,17528,16611,7021
825,6386,3138,11333,12490,15674
826,9615,4428,13551,12181,12686
827,5404,16695,3763,148,1546
828,16138,8892,15799,9615,13957
829,15888,16092,2771,7119,7319
830,1136,15046,969,4599,5246
831,17254,6386,3138,6708,7501
832,17167,12575,4261,1951,2939
833,5816,4598,3156,1487,12820
834,13509,13882,568,6268,14514
835,4686,10580,7139,17642,16854
836,12382,490,3869,9943,3193
837,843,1951,6538,4305,3660
838,6135,11096,11333,12490,8665
