,rec1,rec2,rec3,rec4,rec5
102,12785,148,11406,6584,5381
103,8126,2491,148,14973,8405
104,9147,11342,16112,16665,13519
105,4428,3010,14446,1841,2148
106,4564,8723,5049,16504,11342
107,12490,12542,15053,5242,16009
108,10977,8013,8051,14374,2325
109,7067,15552,15372,13088,10305
110,4428,3010,14446,1841,2148
111,7067,15372,10264,13088,10305
112,16784,13892,15697,11883,11242
113,13881,8696,11991,14071,7476
114,16238,2052,8951,3149,9510
115,17667,2771,4426,15067,16191
116,10769,8173,3295,9095,4428
117,4146,8723,5570,2189,5049
118,8126,148,16321,14973,12109
119,10769,8173,15053,15648,9095
120,6277,10912,13596,15810,6559
121,8449,14442,3660,1413,16019
122,14442,13135,13614,4426,2771
123,10769,15100,15053,15674,11076
124,6119,6139,10234,5623,4008
125,13698,7260,7775,1048,10005
126,13457,13593,2938,13088,240
127,10769,8173,1824,9095,4428
128,261,5772,14561,4458,5704
129,9588,6119,16019,4428,10234
130,7067,13145,15372,13088,10305
131,9193,9426,15100,17288,3142
132,8126,148,16321,14973,12109
133,6386,14065,16122,4087,16768
134,8344,6251,9036,10508,3841
135,7870,8089,4428,11342,1010
136,16853,7327,16259,15140,16706
137,4428,4174,3010,14446,1841
138,10769,5571,1138,11145,17567
139,14654,6119,8013,10234,4008
140,11121,4376,8661,17682,8989
141,10149,14644,16504,10879,6984
142,7397,13412,7557,12333,12335
143,15638,12686,16665,9707,13519
144,1951,7501,3660,8130,16487
145,5404,16695,15053,10,295
146,10769,5571,1138,11145,17567
147,15100,3138,9673,12079,14065
148,232,3763,5381,16726,2991
149,10769,15053,15674,11076,7293
150,9139,13135,13614,17472,16801
151,15140,10732,16706,6662,16786
152,9193,3138,2022,15053,10377
153,10769,15053,15674,11076,6083
154,13989,7328,11246,5206,8327
155,216,11121,3077,9852,5036
156,16695,6119,15053,10,148
157,16695,10149,10,6984,7124
158,232,1871,15227,240,2830
159,9193,5391,15823,9143,12848
160,15372,10485,7411,7560,13088
161,15100,2142,14251,12079,14065
162,6386,15100,2022,14251,10377
163,7067,16254,15372,10624,2220
164,16642,15148,13427,12079,2778
165,10149,16504,8718,13804,10935
166,7067,14867,15372,13088,1371
167,10769,8173,3295,9095,4428
168,10769,5571,1138,11145,17567
169,16092,10456,14392,2482,10345
170,11121,11331,14796,4653,8256
171,9193,15100,16259,6627,15140
172,4785,5854,3660,7844,3547
173,1250,1080,12212,8242,14436
174,15100,2022,3614,6267,4128
175,14654,7870,1487,4428,11342
176,10149,8665,15674,9204,16504
177,15386,6711,17117,17541,15776
178,4254,7067,14136,16383,15222
179,4772,12639,8663,2789,12865
180,1487,15842,2277,9853,6212
181,4093,7976,16110,6251,8464
182,13509,9132,6268,14514,5020
183,10769,15053,15674,11076,6083
184,6386,9193,2022,10377,9673
185,11387,1593,13335,6134,16804
186,7067,15106,15372,1828,13088
187,1487,15842,9853,6212,1657
188,16138,15799,11121,11733,10644
189,4373,5854,6038,2401,17475
190,7067,15372,16173,13088,10305
191,8209,14294,10732,7772,17460
192,14751,4428,4174,3010,14446
193,16695,10149,15053,10,2175
194,12490,5242,16009,13264,14392
195,15968,8126,148,14973,16321
196,16695,10,148,6363,11808
197,14392,1607,4048,15471,6253
198,10769,8173,9095,4428,4271
199,9660,17288,11389,13969,4120
200,16963,10769,10304,11342,11527
201,16846,12641,4145,1665,2966
202,4152,1719,2921,15279,6804
203,12795,148,6584,8174,2991
204,17342,17377,5366,3788,15086
205,12575,2939,8550,16191,2767
206,6139,10234,4008,17279,15050
207,1951,15102,5854,9470,8222
208,7637,16046,10188,8344,3904
209,3138,16655,12694,8989,8880
210,12575,3745,9289,6886,2939
211,15053,8126,148,12109,14262
212,10769,8173,15053,9095,4428
213,8749,13819,17027,11297,1287
214,16695,12983,15053,10,148
215,16264,10769,11453,14721,8522
216,11121,3077,9852,16655,12686
217,16863,995,14837,4610,3489
218,10149,15053,15674,16504,14034
219,15100,2142,14615,203,12212
220,5282,17701,6420,106,1657
221,6386,9193,15100,10377,12079
222,13963,15372,8126,15733,4133
223,10769,15053,15674,11076,8450
224,10769,6119,15674,4271,10234
225,5404,8665,12558,9204,14822
226,4305,4772,14311,11790,2966
227,14496,17342,13955,14893,7055
228,1611,10114,6849,10966,4376
229,17092,11121,11103,16325,7017
230,10648,6298,6640,11225,4035
231,12575,2939,10624,16273,8666
232,12795,148,5381,5328,2991
233,2253,10732,17460,3280,2204
234,1951,13536,9798,13087,3025
235,5854,4305,16019,14446,2148
236,7152,13963,2851,13807,6590
237,11453,4305,6119,3660,3149
238,14619,16595,15244,8723,15195
239,16264,11453,14721,2160,8522
240,3820,13593,2938,5468,13197
241,15105,7017,16228,11300,8784
242,5937,12490,5391,12542,9906
243,5976,13036,13615,16807,8464
244,12273,11606,4945,6761,11607
245,12447,15482,16830,7111,3217
246,15638,4305,4772,2966,11342
247,8971,10171,11389,199,16496
248,12001,16863,10034,11991,13939
249,10769,8173,2160,6119,9095
250,8362,10149,7111,7110,16508
251,6386,15100,3138,2022,14251
252,16491,11790,2778,13519,12971
253,16963,10769,10304,14654,6282
254,9881,14006,10250,9920,5573
255,4475,14673,10058,8663,2789
256,6386,16963,15724,13577,17377
257,8089,4428,7097,3010,14446
258,14654,10149,15053,10,2175
259,16220,9167,11563,14981,3454
260,6632,9722,11316,3486,16517
261,13509,6268,14514,5020,6420
262,13849,793,16372,12639,14485
263,15100,10377,9673,12079,14065
264,15100,6627,13370,14251,17288
265,12575,2939,15100,14251,17288
266,6719,6277,4093,1838,6251
267,6790,7870,4428,11342,13519
268,14654,4305,6119,16019,10013
269,17103,4077,15678,9510,14527
270,4428,6984,3010,14446,212
271,8680,8681,10394,8519,16436
272,10769,15053,1138,11145,4428
273,232,8126,148,16321,14973
274,8126,148,16321,16891,12109
275,6616,9510,14527,289,14897
276,9069,10769,12435,15053,16859
277,1833,15482,7119,5282,7371
278,16695,5391,9723,1008,3278
279,11121,16678,7193,7613,16655
280,5481,16234,10122,11650,4205
281,9350,7067,5698,15372,4772
282,15638,9147,11342,7735,9298
283,16131,1415,11595,10912,2072
284,1913,6233,7058,13931,8364
285,12142,8989,9673,8880,15154
286,6386,3138,2022,10377,2086
287,7067,15372,13088,10305,6657
288,5282,7111,3657,7109,7124
289,6616,17103,15330,275,289
290,10188,9425,16514,15617,13939
291,3138,2851,10377,9673,69
292,5854,12154,16019,14446,2148
293,16238,7058,9510,14527,17311
294,480,12490,12542,5242,16009
295,12087,14071,9510,14527,17602
296,3660,8564,1916,7122,2952
297,12490,5242,14392,12812,2328
298,10769,15674,15867,11342,5514
299,12795,3763,148,16726,8174
300,3300,3321,3660,8002,14391
301,9294,3809,9102,1138,14392
302,11583,1138,5702,15842,10996
303,6886,11714,16321,14973,14065
304,1138,7870,4428,11342,9470
305,16234,2368,14597,16092,9577
306,12575,4261,2939,2913,2851
307,13509,5370,6268,14514,8897
308,7096,2946,15738,3287,9057
309,10769,5571,1138,11145,17567
310,12490,12542,5242,16009,14392
311,6041,11944,11945,12084,2065
312,4564,5854,7870,11342,16477
313,5641,600,12152,5715,12704
314,5641,16306,12152,12704,7501
315,9193,16853,16259,15140,900
316,16234,2368,16092,9577,16372
317,17633,555,960,6,5472
318,12795,11606,148,5381,8174
319,10149,8333,13570,8718,15253
320,8475,1011,16234,2368,15897
321,12490,12542,5242,16009,13427
322,12490,3263,5242,7727,7644
323,15100,6513,10377,9673,12079
324,17633,555,960,6,10079
325,10769,16890,726,5571,1138
326,12575,3745,9289,4261,2939
327,5253,7564,14624,14551,16622
328,5481,16234,10122,11650,4205
329,12795,7501,354,8126,148
330,724,12490,12542,5933,5242
331,6590,10201,12686,9707,16665
332,6886,9193,6244,12142,7501
333,13457,11453,17584,15674,17534
334,12490,12542,15674,5242,16009
335,14924,17602,12079,295,14365
336,7120,6331,14487,10033,12533
337,4564,2000,12516,12515,10879
338,5481,15713,15372,10621,9328
339,7271,12575,11305,2939,8317
340,2949,16234,7501,14289,10608
341,12575,9289,3745,2939,17079
342,10769,1138,5702,15674,15867
343,12795,505,354,11606,7843
344,12194,11790,13519,3707,7349
345,1951,4305,16487,9470,13519
346,724,751,1048,5702,15867
347,410,17401,16940,7021,10660
348,11329,13317,15592,3660,13914
349,3660,12639,11790,9470,5636
350,12575,3745,9289,2939,6538
351,6386,3138,6590,9673,14065
352,20,715,501,1190,13204
353,3947,7243,9461,15867,10055
354,12795,5027,148,15526,5381
355,13963,7067,9579,12273,8126
356,12273,13359,3784,416,9187
357,20,8930,7501,3660,12680
358,16468,14487,10033,7612,607
359,12795,3763,5381,12360,16726
360,7501,9278,12081,5610,15867
361,13963,12575,2939,8146,13092
362,3791,6493,10453,148,2641
363,6386,3138,6590,9673,14065
364,16963,10769,10304,11342,6742
365,5481,11298,900,9328,4318
366,518,17377,7252,6832,354
367,3937,8538,15842,18,6212
368,5481,16254,11298,9328,15797
369,13875,8893,6268,16530,6985
370,232,148,5381,6584,8174
371,7067,16963,10769,10304,13088
372,12818,2368,653,2851,7501
373,1820,526,564,16012,1267
374,7870,1487,4428,11342,11144
375,5481,1047,7147,6708,14006
376,3190,6256,11727,52,17330
377,13849,13074,1951,4373,15102
378,16092,15048,5868,14392,15602
379,11096,2036,12490,17168,15674
380,2000,5282,17004,4663,1657
381,15674,15867,5514,2417,14392
382,14671,8665,7119,7371,8223
383,5481,9328,6590,4025,15902
384,14442,7802,15102,16692,7084
385,7152,15439,11179,14012,8499
386,7067,15372,483,13088,10305
387,10058,8126,11342,16112,16665
388,2851,3660,16350,11790,9707
389,10121,912,6708,7501,6590
390,7067,15372,13088,10305,6657
391,6386,3138,10377,9673,14065
392,9289,16138,13135,13614,1951
393,629,9073,4946,4102,11059
394,2368,2851,7501,11790,5848
395,6886,5481,13145,9328,7501
396,5027,16611,354,8663,148
397,363,6386,3138,6590,10377
398,16963,15369,10769,10304,9170
399,7429,16963,10769,10304,11248
400,5352,7397,11412,14692,13859
401,6386,6590,10377,9673,14065
402,411,7564,11714,2841,6074
403,12490,12542,5242,14392,17408
404,1951,7243,12686,16379,9707
405,7067,15372,2070,13088,10305
406,10769,11453,6119,11248,10234
407,6917,2772,4785,775,5578
408,12324,12273,6782,13995,5094
409,13963,16254,13193,5643,15190
410,704,12853,7021,10660,9914
411,13193,615,15190,2841,14624
412,12795,232,3763,11606,148
413,13614,13135,10711,17472,8309
414,16504,10879,4428,9179,3010
415,1138,10879,4428,11518,3010
416,13359,8126,3784,148,636
417,4694,6272,16726,5506,12212
418,3814,10149,10879,9677,10389
419,16695,2036,12490,5391,16009
420,753,10769,10304,7501,15053
421,17186,5370,12639,5282,8663
422,148,15227,6584,8174,17593
423,2302,8380,7222,4376,2881
424,16963,10769,10304,6063,15959
425,12490,12542,15053,5242,16009
426,6386,3138,6590,10377,9673
427,1833,294,480,778,3570
428,5481,15372,573,900,9328
429,232,3763,11606,148,5381
430,1986,5213,7152,14716,8801
431,9193,10377,9673,12079,15154
432,7870,4428,11342,13519,11144
433,17653,15427,4305,6119,16019
434,7587,6886,12142,7501,12533
435,15100,3138,3809,11606,12079
436,6349,7501,3098,11859,9470
437,9679,9115,3300,10149,10951
438,10149,5282,16504,2277,12650
439,16611,4827,1694,13519,8897
440,16092,3634,14392,15602,12727
441,16234,2368,16092,9577,900
442,11299,16234,2368,9577,7501
443,5404,7152,3763,15632,5381
444,5276,6320,774,4075,5271
445,16234,2368,16092,9577,900
446,4305,6119,3660,3149,16019
447,14449,16234,3964,10122,9660
448,9333,15715,12435,9324,14329
449,13295,3300,7021,16350,1487
450,12273,4663,7116,4530,12113
451,9289,3745,12575,2939,13927
452,704,12853,18,563,7789
453,16254,7147,9881,14006,14371
454,4564,11342,10996,7097,14446
455,4564,7870,17683,11342,12133
456,779,5404,13359,416,12079
457,5404,12490,9204,148,4856
458,15322,2771,17019,6418,13593
459,7501,3809,13064,1524,6590
460,9660,15482,6041,12473,4545
461,14431,13074,13849,1951,11475
462,16234,9972,9577,7501,1030
463,3660,15835,4008,6824,6561
464,1057,9824,11411,17485,15674
465,7067,15372,13088,10305,6657
466,13317,608,5212,5800,6268
467,12490,12542,15674,5242,14392
468,5854,4305,16019,4225,14446
469,9289,16138,1951,13927,17472
470,7501,3809,6119,3660,1138
471,1011,16890,648,11422,475
472,16234,9577,7501,7647,4550
473,12795,16695,3763,148,10
474,7587,16963,10769,10304,4153
475,10419,1011,10430,7021,10660
476,15888,16092,16385,7119,9661
477,11617,739,12332,4428,5906
478,410,14673,4847,12573,14136
479,10718,11951,8731,6381,5029
480,294,427,16120,148,14965
481,7678,5481,17154,2001,9328
482,11889,12821,8126,17012,13490
483,16234,3895,9577,7501,1048
484,3791,6493,10453,2373,9513
485,6386,3138,6590,10377,9673
486,12795,12273,11606,7879,16345
487,16234,2368,16092,9577,900
488,7067,16092,3809,3903,14392
489,17103,15330,8951,8039,289
490,5854,12382,15584,4140,12828
491,16234,9577,7501,8333,9607
492,13084,12849,12289,8191,12277
493,11083,148,1127,17163,11725
494,15674,15867,5242,14392,14034
495,2022,17377,12288,12639,5242
496,14136,6590,12686,16665,9707
497,1138,15842,4428,4174,3010
498,4475,11804,16673,7514,5027
499,4373,5854,16024,15298,9053
500,13145,14371,4318,7057,16920
501,6386,11714,16321,14973,12109
502,9193,12795,900,5391,7880
503,4475,7514,10058,15526,3669
504,15053,14346,8126,148,14007
505,7501,9579,8126,6874,7843
506,5481,13145,7821,9328,7831
507,12575,3138,2022,12996,11479
508,2052,8951,7501,8126,6874
509,12575,3745,9289,16789,2939
510,15674,5242,14392,6828,14034
511,12490,900,7501,3809,5242
512,12490,12542,5242,16009,14392
513,5481,14006,9328,2541,9920
514,9002,4564,3660,15835,11342
515,12490,12542,4389,5242,16009
516,360,9278,12081,5610,3623
517,12795,3763,148,5381,16726
518,5854,3660,7252,16019,9470
519,577,16032,5481,9328,10250
520,16963,10769,7501,15867,5365
521,12185,341,17079,6708,3616
522,7152,2368,11179,16027,8116
523,779,5404,12476,148,7574
524,4869,525,4446,3563,296
525,5404,16695,148,10,15632
526,7152,4475,4011,16350,15526
527,8126,148,14973,16321,12109
528,5404,7111,148,295,8718
529,16963,10769,10304,3809,1138
530,1951,12575,6590,16379,9707
531,12795,354,7090,3858,12169
532,2949,16234,2368,9289,13927
533,3300,17401,3660,2267,10660
534,410,12853,12948,563,452
535,17633,16234,6,960,900
536,2368,8333,622,15821,7148
537,4254,5481,2435,9328,14136
538,16963,10769,10304,14136,3149
539,3820,15070,14136,13593,5333
540,15455,5481,9328,7501,14371
541,16234,2368,5481,16385,2943
542,3190,6386,3138,6590,9673
543,16234,2368,2949,900,9328
544,16234,709,2368,9577,7501
545,12490,12542,5242,16009,14392
546,8940,8629,14638,14392,15614
547,6611,7501,5974,3660,14136
548,15674,5242,14034,17354,5367
549,17165,3660,7252,12648,9470
550,10610,12795,602,8663,5708
551,10149,7111,8718,11808,4856
552,14279,10241,17377,12245,7870
553,10769,8173,7501,9095,4428
554,16234,2368,9577,7501,541
555,17633,960,6,317,5472
556,10017,3663,9615,17342,15140
557,6886,17254,2751,12795,6386
558,15867,2778,5754,15773,9750
559,5481,9328,14371,2220,7057
560,9576,16963,10769,10304,7501
561,1174,6590,6341,12686,9707
562,16963,10304,7501,15959,15867
563,1781,704,12853,15530,15466
564,679,10257,1820,14064,6708
565,491,4772,17401,3660,9607
566,10039,16796,4305,3660,16019
567,14918,17562,354,4112,771
568,10879,8977,4008,9315,11808
569,12575,6886,9289,3745,1011
570,10257,569,6538,7501,837
571,12490,12542,5242,16009,14392
572,2184,8984,6590,12686,9707
573,5481,16254,9328,6590,5643
574,5481,7821,9328,7831,6590
575,7501,12639,10895,3193,6328
576,5481,10122,16234,1611,11650
577,16234,2368,16092,519,9577
578,3680,7688,6540,3339,15979
579,5854,4305,16019,731,14446
580,363,10769,11453,10304,7501
581,16853,600,5715,15140,5430
582,5481,16234,10122,8380,11650
583,4305,3660,16019,17602,11790
584,10539,13459,16222,13089,12861
585,4617,4538,752,790,6227
586,16234,15069,9577,7501,1048
587,5854,4305,16019,10549,14446
588,16468,14487,10033,8930,7612
589,5481,752,15372,10621,7501
590,10769,11453,12152,15053,15674
591,10149,15053,15674,16504,14034
592,11096,776,11333,12490,928
593,5854,4305,3660,16019,12828
594,320,8475,1011,14348,15897
595,12575,3745,9289,1951,4261
596,12795,232,148,5381,8174
597,16204,709,900,7989,16372
598,5481,9328,13242,6590,6300
599,15674,17602,663,13427,12079
600,581,2368,5715,5430,9106
601,1951,6595,306,2913,17051
602,2368,3660,7119,15867,7371
603,5481,9328,10250,2220,15797
604,12490,3220,785,14392,4048
605,15322,17019,6418,14346,13733
606,9669,12982,12201,9254,6590
607,16468,14487,10033,7501,7612
608,13509,5800,466,6268,14514
609,6920,713,7771,3660,11790
610,6793,5716,16239,11327,13746
611,5481,9328,6590,6300,7147
612,16468,14487,10450,900,14136
613,1951,4373,15102,10079,14514
614,10769,15053,15674,11076,6083
615,359,411,13193,6074,14624
616,7152,502,7880,12491,4967
617,17633,555,960,6,10079
618,13361,14442,12648,7005,7768
619,16234,2368,16092,821,9577
620,16234,6886,2368,16092,9577
621,1951,7501,3660,5319,16221
622,10149,13570,10389,8718,10398
623,148,16895,6680,11406,11922
624,3815,5020,4859,14561,11118
625,7428,16092,14392,15602,14171
626,14716,14881,4521,3830,9328
627,5481,4254,10761,2435,14136
628,10257,12601,5212,608,5800
629,3618,13193,393,4946,4102
630,15888,8542,14449,16234,10122
631,3664,1877,8629,9408,12651
632,15888,16092,15372,7119,7371
633,12490,12542,15674,5242,16009
634,12490,12542,5242,16009,13427
635,15301,15932,15603,6270,985
636,15053,13359,3784,4361,416
637,7501,7870,4208,3192,4428
638,6886,6260,6386,3138,6590
639,16234,9193,900,12542,14346
640,12795,354,148,9195,13506
641,2368,9377,306,2851,900
642,13344,7186,14205,8535,3404
643,15638,9147,11790,2966,12686
644,5481,9881,900,9328,7501
645,5027,17377,354,13532,148
646,637,1138,4428,11903,3010
647,1011,7989,7021,7184,10667
648,16890,726,654,3982,12479
649,14442,839,2939,14136,7768
650,11852,991,4598,9180,734
651,12273,8126,12389,10628,12916
652,13963,5481,9328,17467,6590
653,7152,13963,2851,13807,6590
654,5027,1951,15102,12479,648
655,936,14662,9460,12467,7998
656,3300,13619,3660,12639,8663
657,5253,14918,996,1871,771
658,7152,12818,2368,5282,6084
659,3106,12490,900,7501,5242
660,7318,7067,15372,15530,2012
661,15439,12273,8343,16345,6027
662,3300,12639,15842,8663,12607
663,15674,5242,16398,14392,639
664,17044,10013,17392,5702,342
665,6886,12795,12142,7501,14065
666,14346,15053,15674,11076,9019
667,7067,3,15372,6384,12762
668,6886,6590,10201,12686,14270
669,20,352,715,14088,7501
670,16234,2368,16092,9577,900
671,5481,16234,10122,11650,4205
672,17637,3710,7734,13645,7774
673,12288,16504,11790,11342,16742
674,12273,14624,9093,6360,10628
675,7067,3908,7194,2199,9987
676,7111,11606,8979,11808,15175
677,16092,2065,14392,15602,6198
678,12273,6074,10628,12916,7640
679,16234,746,16092,9577,14136
680,5404,16695,10,5496,295
681,2052,8951,9510,14527,532
682,16963,10769,10304,7501,15867
683,12490,380,9231,14392,12761
684,12575,9289,3745,2939,13927
685,10769,8173,16914,9095,4428
686,555,960,16870,12704,10079
687,1951,12639,16487,3403,6328
688,11453,403,10149,6889,4828
689,483,7501,462,14392,9329
690,3654,8104,1046,9479,11705
691,10149,16504,6984,10389,8718
692,15322,16796,17019,6418,13733
693,10149,622,13570,8718,10398
694,12490,5242,2575,3403,14392
695,15638,11342,9707,8605,1569
696,14514,13519,17701,6420,14561
697,11096,6135,11333,12490,900
698,10080,3300,849,15709,18
699,2368,7119,7371,13427,14392
700,4564,5854,11342,10996,11144
701,4964,12649,12651,9717,12652
702,3745,9289,12575,2939,13927
703,17653,4305,6119,16019,765
704,410,4450,12948,452,10660
705,10149,7111,16504,7110,10389
706,5370,5282,8663,13778,6328
707,17633,12795,555,960,6
708,7988,17459,13762,234,12072
709,16204,16234,16092,9577,1048
710,11560,14064,715,7501,770
711,5404,4075,148,15632,7116
712,5481,15372,7501,1524,5702
713,746,6920,7771,7501,609
714,7318,2851,17401,11790,12079
715,20,352,16234,9577,10608
716,13295,4564,16350,10879,11790
717,16695,14346,8126,148,14973
718,12749,7067,15372,9328,7501
719,17633,555,960,6,12704
720,16234,9577,14088,8333,1048
721,17401,8333,13571,2295,10660
722,12490,12542,5242,16009,14392
723,16370,1951,6897,16692,12612
724,10769,12527,15867,15674,16504
725,16476,13260,12852,13744,2637
726,16890,12479,648,12496,11849
727,5481,4254,2435,9328,14136
728,12273,9093,7239,12916,10628
729,1951,17377,16487,16379,9470
730,5854,4305,16019,14446,8669
731,13295,16350,10879,11342,10996
732,16092,306,2913,7119,7371
733,16890,726,654,12479,648
734,5816,991,749,4598,9180
735,14136,6590,12686,537,9707
736,9333,3830,2036,12490,15674
737,16963,10769,10304,14136,3149
738,10769,17044,4,7968,15867
739,5854,11617,3660,5906,10686
740,6268,14514,17701,6420,8555
741,2036,15674,10234,4008,5367
742,6386,16092,9673,14065,17358
743,16234,577,16092,9577,1048
744,17633,555,960,6,10079
745,5027,17377,354,12212,3113
746,679,16032,713,1186,9607
747,363,7501,3660,15053,3149
748,14442,12575,2939,7768,11281
749,4598,734,354,15906,833
750,3300,14295,14391,15306,9181
751,7501,3660,7870,15867,4428
752,4617,4538,790,7501,585
753,11339,12704,7501,15053,4153
754,11056,900,16372,15867,15674
755,57,13710,4428,5263,11282
756,16234,2368,16092,9577,316
757,637,7870,4428,11342,10199
758,17649,8126,148,16321,14973
759,17633,555,960,6,9505
760,11714,14973,16321,12109,11858
761,360,3062,7501,9278,5610
762,16370,13317,13361,6897,723
763,11299,18,12880,17635,11930
764,12575,3745,9289,2939,6538
765,1951,12575,2939,703,12686
766,9333,9324,11622,1877,12361
767,9251,900,14392,2377,4048
768,2052,8951,2352,6020,3817
769,5481,9881,7147,9328,4279
770,3809,7501,769,5365,12014
771,5027,12795,14670,14918,354
772,7067,15372,13088,12730,11098
773,15439,16345,2952,14622,11808
774,444,4075,16899,12215,15255
775,2772,13962,12608,912,407
776,12490,12542,4389,5242,16009
777,7152,3100,11179,8149,15255
778,480,16120,14965,12053,6081
779,5404,8126,148,12079,2778
780,2772,6886,11496,12142,3809
781,13882,4564,9169,12720,5263
782,15322,16796,17019,8522,6418
783,1951,1011,16234,8535,2575
784,9327,16914,8629,1636,6667
785,2368,1833,16342,12620,5282
786,15276,17513,10569,3149,3934
787,13963,15372,8126,10073,15733
788,2449,12781,15505,8921,7900
789,3767,5391,3278,9857,148
790,4617,4538,752,585,6227
791,4564,5854,11342,10996,14446
792,1011,16234,2368,9577,619
793,5148,638,6260,3895,8333
794,7327,2368,16642,4538,752
795,2368,724,12527,567,742
796,476,16234,2368,16092,9577
797,4564,9115,2277,11342,10996
798,16092,11168,14392,15602,17126
799,13195,13189,4550,3547,12556
800,9183,14032,11565,7401,443
801,16468,2949,14487,10450,900
802,1951,16019,8130,16487,16379
803,12795,148,14800,8174,2991
804,1487,15842,15166,10464,7097
805,10033,3809,1138,4964,14638
806,2499,5404,13736,148,15632
807,16234,2368,16092,9577,7501
808,2000,483,3809,14392,13976
809,10769,1138,15674,16504,4428
810,6139,10234,4008,8852,17279
811,3983,13366,16504,10879,4428
812,3763,148,6584,5381,17222
813,1951,12575,2939,16379,16665
814,9009,4921,17401,9908,7619
815,16695,12273,10,16345,11808
816,10896,10010,12818,359,5578
817,2022,3809,12996,10377,11479
818,3138,6590,10377,9673,14065
819,14597,6590,3270,12686,9707
820,960,4205,12704,7501,5472
821,3745,9289,12575,2939,12676
822,14392,15363,16092,15602,6415
823,10257,11299,16342,1011,8333
824,5574,1781,16611,7021,14514
825,12490,5242,16009,16895,11922
826,12181,11342,729,8605,9707
827,3763,148,6584,5381,16726
828,13957,15638,11663,7009,9147
829,10769,15674,3235,16504,7319
830,1136,15046,969,5246,2529
831,6386,3138,6590,10377,9673
832,17167,12575,13135,4261,2939
833,5816,4598,3156,12820,15906
834,1138,15053,4428,3010,14446
835,14673,15734,11533,1727,4483
836,12382,490,3869,16504,4140
837,1951,843,12575,6590,4541
838,11096,6135,11333,12490,12212
839,14442,12575,2939,7768,5093
840,1781,5998,14266,7021,6212
